EffectiveStartDate,PersonNumber,ActionCode,StartDate,NameType,FirstName,LastName,EmailType,EmailAddress,DateFrom,StartDate,LegalEmployer,WorkerType,ActionCode,EffectiveSequence,EffectiveLatestChange,AssignmentNumber,ActionCode,AssignmentNumber,ActionCode,AssignmentStatusType,BusinessUnit,UserName,GeneratedUserAccount
36892,10001,ADD_CWK,36892,GLOBAL,Ani,Vaghela,Work Email,avaghela@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10001,ADD_CWK,C10001,ADD_CWK,ACTIVE_NO_PROCESS,HR,10001,Yes
36892,10002,ADD_CWK,36892,GLOBAL,Suresh,Maddipoti,Work Email,smaddipoti@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10002,ADD_CWK,C10002,ADD_CWK,ACTIVE_NO_PROCESS,CORP,10002,Yes
36892,10003,ADD_CWK,36892,GLOBAL,Nithin,Channa,Work Email,nchanna@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10003,ADD_CWK,C10003,ADD_CWK,ACTIVE_NO_PROCESS,SERVICES,10003,Yes
36892,10004,ADD_CWK,36892,GLOBAL,Shailendra,Gupta,Work Email,sgupta@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10004,ADD_CWK,C10004,ADD_CWK,ACTIVE_NO_PROCESS,HR,10004,Yes
36892,10005,ADD_CWK,36892,GLOBAL,Tanweer,Hasnain,Work Email,thasnain@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10005,ADD_CWK,C10005,ADD_CWK,ACTIVE_NO_PROCESS,CORP,10005,Yes
36892,10006,ADD_CWK,36892,GLOBAL,Ramon,Villela,Work Email,rvillela@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10006,ADD_CWK,C10006,ADD_CWK,ACTIVE_NO_PROCESS,SERVICES,10006,Yes
36892,10007,ADD_CWK,36892,GLOBAL,Miguel,Mendoza,Work Email,mmendoza@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10007,ADD_CWK,C10007,ADD_CWK,ACTIVE_NO_PROCESS,HR,10007,Yes
36892,10008,ADD_CWK,36892,GLOBAL,Manuel,Villalba,Work Email,mvillalba@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10008,ADD_CWK,C10008,ADD_CWK,ACTIVE_NO_PROCESS,CORP,10008,Yes
36892,10009,ADD_CWK,36892,GLOBAL,Nithin,Channa,Work Email,nchanna@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10009,ADD_CWK,C10009,ADD_CWK,ACTIVE_NO_PROCESS,SERVICES,10009,Yes
36892,10010,ADD_CWK,36892,GLOBAL,Javier,Reyes,Work Email,jreyes@northpointgroup.com.INVALID,36892,36892,North Point Group,Contingent Worker,ADD_CWK,1,Y,CT10010,ADD_CWK,C10010,ADD_CWK,ACTIVE_NO_PROCESS,HR,10010,Yes
36892,10011,ADD_NON_WKR,36892,GLOBAL,Leonel,Juarez,Work Email,ljuarez@northpointgroup.com.INVALID,36892,36892,North Point Group,Nonworker,ADD_NON_WKR,1,Y,NT10011,ADD_NON_WKR,N10011,ADD_NON_WKR,ACTIVE_NO_PROCESS,CORP,10011,Yes
36892,10012,ADD_NON_WKR,36892,GLOBAL,Ani,Vaghela,Work Email,avaghela@northpointgroup.com.INVALID,36892,36892,North Point Group,Nonworker,ADD_NON_WKR,1,Y,NT10012,ADD_NON_WKR,N10012,ADD_NON_WKR,ACTIVE_NO_PROCESS,SERVICES,10012,Yes
36892,10013,ADD_NON_WKR,36892,GLOBAL,Luis,Amaya,Work Email,lamaya@northpointgroup.com.INVALID,36892,36892,North Point Group,Nonworker,ADD_NON_WKR,1,Y,NT10013,ADD_NON_WKR,N10013,ADD_NON_WKR,ACTIVE_NO_PROCESS,CORP,10013,Yes
36892,10014,ADD_NON_WKR,36892,GLOBAL,Juan,Bracamonte,Work Email,jbracamonte@northpointgroup.com.INVALID,36892,36892,North Point Group,Nonworker,ADD_NON_WKR,1,Y,NT10014,ADD_NON_WKR,N10014,ADD_NON_WKR,ACTIVE_NO_PROCESS,SERVICES,10014,Yes
